['WDGCR', 'KENPF', 'DFBMK', 'OXRUQ', 'ENWEP']
['TBZDI', 'QVNNO', 'NUSHB', 'SEYUH', 'SZXFW']
['ERTVL', 'PECLI', 'HFDOF', 'JEBNF', 'IGQNP']
['BEIFF', 'FGDHQ', 'LIQGP', 'AWDBE', 'SGXHX']
['ZNMAJ', 'ZHVLK', 'XFNKQ', 'OXRDD', 'HSIWG']
['PSVNQ', 'XUYPR', 'DFVZW', 'DBIOJ', 'NCDJQ']
['WCFRY', 'DUAEB', 'VFFHE', 'FXUHH', 'ACMPF']
['INTFC', 'BWWYB', 'KHNJL', 'XBSXA', 'OQSOU']
['SPHAJ', 'WJAIQ', 'IVZGD', 'FCJLJ', 'PSZDK']
['AICHQ', 'UZKCN', 'QUECI', 'SFQST', 'EAITX']
['MEKWP', 'VATRQ', 'YJPCO', 'CBJEL', 'QECFT']
['WOIJX', 'GNCHO', 'VGCRP', 'UGKUC', 'VSPLU']
['SHLYA', 'IKHTD', 'MYAVD', 'HWSJL', 'RMUXW']
['JMYIA', 'BJTHH', 'CCNPM', 'VWJWK', 'MXMMA']
['CPJBS', 'FZRBE', 'XXFSV', 'TAIVA', 'LPHWP']
['KSCIB', 'ZQDIP', 'FVYLB', 'QYWKX', 'OJGET']
['FCWUA', 'YJCIZ', 'ETYTK', 'ZPTPS', 'QSVBC']
['UCLPW', 'GZQDO', 'EYFRR', 'ALXRH', 'BPZOY']
['XBLXM', 'CSQHY', 'XEEVL', 'LBKGE', 'YBAFX']
['RUYNY', 'TTIDN', 'YQPNL', 'EBLCO', 'TVCFA']
['GCQTP', 'JHGWB', 'NSAJQ', 'NLRBO', 'HNXEZ']
['OUQMM', 'QGRPC', 'QGGOH', 'GVYUW', 'IRAUO']
['QYLAH', 'RCZHM', 'PKBGA', 'UJHDY', 'MWVBQ']
['KUMCW', 'RQZPM', 'TFWCC', 'NKCOJ', 'QBZQQ']
['PVVAV', 'RWZXF', 'ARMIC', 'CUUFQ', 'HCVBR']
['UHSWZ', 'TKJBK', 'JCOPI', 'UGVLA', 'WAHPX']
['HATBR', 'IAADS', 'CIOFH', 'WTGUO', 'DKHZJ']
['CIILB', 'JAFZN', 'VIPLF', 'KPECP', 'GUDYJ']
['CKHRK', 'KCHSD', 'VPSEI', 'AILUZ', 'IZMEQ']
['UCQZE', 'CHIJG', 'QCHPG', 'HGJEC', 'CVNCZ']
['GICKM', 'EWNSH', 'EFKRH', 'VATKD', 'DSQUZ']
['VVCGQ', 'DVLFX', 'YXPNV', 'GWJWE', 'AXQPJ']
['OKPQW', 'TBPZM', 'YFRIJ', 'NWAHL', 'AWUBI']
['CIPCP', 'KEMJT', 'IGAXC', 'CLLNQ', 'IXMQO']
['GOXXP', 'FZBVB', 'SYIZZ', 'TUSMK', 'QQXNO']
['LNIAF', 'ERQBP', 'RUGKU', 'WUCQA', 'HXXMK']
['FXFUX', 'PTRTD', 'BNJLP', 'KQUJH', 'QSYML']
['KGIPC', 'SJJMM', 'ZJQQO', 'DCJPL', 'XAOMD']
['WPGRW', 'UHYVL', 'HKVZW', 'TYMOI', 'IRNCA']
['ONQWA', 'YWCZV', 'DKSJV', 'SRUUN', 'RJDRX']
['ZIJNW', 'OENWP', 'ZJNIT', 'CIBMR', 'ZLQYF']
['OCOQX', 'MESKQ', 'FZQXE', 'TFEWH', 'GBGAG']
['ZRVWH', 'CIUZU', 'VTOZN', 'BBKUO', 'YNIQG']
