['768', '181', '961', '929', '401', '36', '268', '392', '185', '46', '545', '112', '225', '683', '266', '523', '824', '839', '780', '572']
['714', '766', '477', '114', '795', '890', '951', '653', '295', '509', '693', '800', '363', '1', '44', '860', '757', '197', '799', '187']
['42', '633', '57', '917', '789', '577', '52', '574', '945', '710', '92', '294', '417', '845', '612', '94', '380', '835', '399', '455']
['381', '192', '825', '613', '529', '885', '627', '985', '235', '618', '140', '900', '132', '469', '126', '433', '975', '534', '588', '440']
['566', '564', '796', '668', '632', '505', '33', '643', '113', '220', '816', '744', '727', '160', '556', '62', '10', '64', '274', '734']
['61', '74', '63', '630', '361', '190', '54', '549', '218', '652', '282', '794', '651', '305', '689', '51', '784', '493', '859', '916']
['310', '103', '39', '525', '68', '660', '69', '626', '659', '485', '609', '812', '499', '774', '931', '708', '215', '214', '557', '356']
['459', '350', '198', '884', '587', '400', '14', '83', '623', '990', '290', '536', '532', '97', '771', '206', '817', '366', '682', '535']
['473', '207', '923', '441', '779', '240', '680', '781', '819', '983', '286', '338', '967', '740', '53', '857', '601', '856', '924', '977']
['273', '30', '887', '802', '500', '504', '437', '387', '211', '753', '621', '71', '617', '778', '130', '157', '456', '915', '288', '237']
['49', '478', '938', '721', '542', '629', '777', '359', '90', '928', '431', '745', '26', '639', '208', '372', '511', '119', '72', '12']
['415', '580', '345', '89', '335', '833', '390', '969', '508', '479', '692', '340', '19', '354', '809', '801', '810', '783', '962', '765']
['790', '38', '262', '735', '425', '397', '87', '370', '100', '758', '250', '936', '394', '600', '246', '944', '919', '330', '763', '343']
['163', '875', '728', '704', '593', '426', '41', '688', '34', '364', '373', '252', '483', '120', '6', '518', '773', '807', '116', '147']
['690', '858', '681', '104', '407', '966', '488', '328', '657', '594', '247', '787', '510', '409', '517', '178', '474', '862', '384', '761']
['607', '596', '371', '982', '631', '892', '772', '808', '462', '162', '911', '91', '547', '589', '823', '686', '899', '965', '3', '454']
['570', '669', '770', '73', '906', '666', '616', '138', '224', '438', '565', '550', '733', '561', '152', '997', '640', '133', '670', '7']
['863', '48', '927', '764', '739', '471', '635', '296', '269', '696', '597', '598', '904', '287', '954', '921', '822', '722', '385', '840']
['487', '412', '970', '326', '432', '435', '685', '212', '35', '325', '170', '122', '614', '129', '871', '165', '15', '913', '926', '360']
['972', '506', '383', '171', '164', '17', '709', '99', '803', '558', '258', '472', '908', '144', '568', '513', '424', '950', '236', '979']
['830', '987', '422', '66', '188', '881', '918', '964', '988', '75', '333', '759', '336', '465', '244', '814', '541', '776', '238', '88']
['602', '349', '605', '879', '67', '174', '573', '925', '654', '229', '730', '223', '230', '81', '411', '270', '320', '834', '28', '260']
['792', '791', '243', '117', '23', '27', '2', '421', '804', '16', '222', '131', '648', '234', '986', '283', '750', '896', '150', '405']
['637', '934', '595', '716', '123', '302', '827', '245', '109', '213', '705', '277', '604', '323', '423', '374', '675', '948', '829', '297']
['111', '227', '200', '436', '866', '939', '620', '195', '754', '658', '279', '118', '552', '289', '528', '649', '560', '697', '254', '820']
['256', '516', '481', '450', '512', '562', '167', '95', '327', '142', '304', '624', '527', '995', '671', '706', '85', '674', '742', '991']
['851', '257', '32', '832', '145', '522', '453', '583', '452', '844', '984', '128', '646', '958', '960', '125', '531', '818', '622', '946']
['136', '31', '868', '209', '315', '166', '603', '503', '947', '77', '379', '645', '838', '555', '168', '50', '339', '419', '264', '141']
['711', '461', '661', '543', '388', '882', '883', '502', '691', '886', '678', '203', '841', '216', '905', '902', '357', '553', '445', '434']
['149', '347', '743', '332', '134', '889', '20', '586', '375', '348', '139', '615', '864', '540', '853', '4', '232', '199', '344', '956']
['475', '219', '855', '869', '177', '105', '25', '569', '584', '241', '843', '242', '362', '491', '93', '353', '153', '55', '746', '798']
['636', '58', '625', '664', '322', '275', '300', '850', '404', '249', '334', '514', '907', '393', '826', '974', '876', '251', '443', '124']
