['662', '610', '470', '482', '123', '969', '102']
['144', '659', '884', '357', '914', '612', '811']
['731', '530', '503', '275', '126', '363', '141']
['745']
['775', '879', '851', '922', '4', '66', '293']
['863', '780', '502', '110', '644', '430', '525']
['338', '7', '806', '630', '719', '362', '634']
['313', '348']
['80', '560', '588', '629', '404', '685', '740']
['722', '785']
['697', '63', '246', '307', '955', '932', '412']
['224']
['418']
['920', '415', '2', '809', '595', '288', '826']
