['672', '571', '944', '784', '577']
['469', '762', '791', '768', '532']
['100', '373', '487', '85', '903']
['855', '613', '810', '83', '937']
['755', '632', '430', '772', '75']
['591', '301', '167', '584', '286']
['837', '917', '296', '508', '240']
['665', '246', '985', '912', '356']
['987', '935', '274', '857', '896']
['405', '875', '738', '385', '999']
['647', '162', '955', '927', '490']
['566', '247', '132', '107', '863']
['600', '625', '260', '349', '48']
['671', '892', '848', '442', '751']
['59', '50', '35', '916', '533']
['377', '879', '473', '646', '86']
['126', '895', '807', '9', '884']
['520', '829', '119', '636', '499']
['315', '390', '972', '355', '33']
['203', '45', '165', '159', '181']
['25', '559', '814', '997', '284']
['580', '476', '990', '18', '631']
['802', '457', '569', '300', '363']
['142', '468', '494', '481', '826']
['42', '922', '197', '587', '128']
['730', '427', '992', '445', '899']
['242', '470', '866', '933', '943']
['21', '6', '118', '913', '474']
['425', '188', '542', '860', '650']
['80', '957', '221', '914', '358']
['175', '788', '232', '586', '735']
['790', '741', '767', '105', '69']
['19', '314', '716', '679', '694']
['241', '387', '726', '135', '758']
['783', '507', '312', '664', '684']
['264', '276', '316', '925', '205']
['560', '843', '212', '111', '163']
['628', '148', '886', '467', '403']
['968', '885', '209', '841', '43']
['378', '612', '92', '719', '143']
['451', '121', '288', '579', '525']
['88', '91', '984', '236', '399']
['36', '870', '989', '701', '222']
['929', '150', '394', '144', '724']
['497', '400', '748', '529', '39']
['874', '994', '608', '850', '527']
['323', '294', '183', '996', '634']
['418', '594', '94', '563', '915']
['254', '184', '270', '38', '506']
['424', '201', '583', '228', '680']
['89', '539', '969', '932', '392']
['134', '253', '63', '30', '839']
['37', '479', '909', '548', '64']
['513', '182', '366', '386', '367']
['675', '797', '871', '699', '813']
['15', '704', '510', '662', '172']
['629', '325', '773', '231', '524']
['745', '234', '710', '696', '760']
['215', '889', '951', '958', '552']
['123', '414', '941', '195', '453']
['491', '663', '515', '709', '57']
['423', '31', '953', '930', '627']
['553', '5', '519', '838', '192']
['396', '47', '249', '779', '171']
['781', '169', '190', '76', '207']
['332', '742', '204', '644', '461']
['982', '285', '750', '374', '820']
['136', '309', '224', '614', '359']
['556', '65', '495', '113', '357']
['557', '58', '383', '926', '572']
['901', '133', '248', '888', '616']
['656', '34', '624', '549', '504']
['540', '952', '308', '615', '604']
['900', '70', '550', '976', '786']
['804', '417', '268', '402', '307']
['44', '743', '313', '97', '828']
['321', '475', '833', '588', '847']
['73', '683', '149', '877', '687']
['322', '263', '434', '923', '882']
['292', '68', '747', '389', '395']
['546', '275', '725', '789', '967']
['258', '714', '977', '53', '351']
['106', '251', '81', '160', '669']
['712', '391', '382', '170', '435']
['196', '342', '764', '575', '218']
['493', '991', '352', '129', '452']
['202', '371', '787', '727', '945']
['685', '592', '213', '568', '125']
['317', '277', '477', '295', '191']
['318', '846', '333', '835', '462']
['440', '239', '237', '77', '372']
['965', '509', '823', '936', '393']
['412', '428', '818', '799', '266']
['689', '14', '983', '752', '963']
['298', '830', '626', '0', '278']
['864', '567', '99', '282', '472']
['336', '459', '56', '492', '485']
['907', '918', '24', '152', '320']
['873', '259', '872', '87', '436']
['706', '979', '466', '67', '645']
['109', '90', '691', '501', '811']
['370', '844', '341', '599', '610']
['79', '948', '809', '29', '551']
['354', '287', '753', '362', '401']
['219', '376', '905', '893', '164']
['658', '775', '919', '339', '206']
['522', '243', '1', '681', '303']
['168', '460', '93', '198', '40']
['733', '437', '737', '512', '827']
['891', '173', '177', '570', '607']
['438', '478', '603', '331', '299']
['46', '345', '230', '998', '980']
