['551', '404', '278', '569', '860', '1', '128', '704', '611', '84']
['707', '486', '814', '303', '903', '809', '85', '408', '595', '554']
['794', '293', '807', '330', '299', '954', '377', '464', '82', '245']
['129', '731', '225', '194', '323', '671', '385', '626', '901', '990']
['196', '199', '465', '808', '89', '837', '253', '348', '920', '266']
['577', '77', '964', '616', '435', '88', '859', '613', '507', '661']
['247', '344', '653', '790', '989', '51', '301', '133', '832', '675']
['624', '868', '437', '243', '926', '514', '873', '699', '256', '824']
['285', '621', '777', '646', '557', '296', '255', '674', '890', '3']
['498', '131', '919', '594', '23', '861', '379', '325', '936', '139']
['230', '421', '620', '744', '353', '154', '999', '276', '816', '924']
['391', '297', '114', '768', '319', '774', '272', '925', '480', '945']
['234', '825', '165', '461', '917', '15', '878', '482', '935', '908']
['68', '537', '102', '773', '304', '45', '227', '36', '971', '110']
['949', '608', '492', '988', '32', '806', '869', '708', '53', '993']
['831', '46', '365', '287', '709', '410', '541', '545', '336', '834']
['446', '723', '362', '132', '111', '592', '138', '295', '958', '178']
['343', '396', '581', '204', '664', '676', '101', '226', '411', '462']
['494', '179', '454', '144', '588', '22', '83', '140', '467', '372']
['394', '248', '174', '729', '262', '191', '550', '371', '706', '692']
['928', '475', '284', '405', '308', '629', '973', '339', '21', '560']
['52', '523', '237', '619', '30', '751', '75', '455', '896', '651']
['407', '333', '648', '733', '764', '504', '735', '612', '347', '390']
['758', '109', '855', '345', '583', '701', '496', '540', '497', '965']
