['797', '218', '377', '307', '625', '807', '826', '907', '540', '419', '452', '776', '247', '924', '822', '61', '680', '538', '838', '517', '786', '132', '504', '674', '960', '269', '646', '344', '301', '164', '491', '812']
['852', '495', '97', '531', '22', '1', '177', '796', '125', '624', '46', '466', '134', '918', '228', '777', '453', '123', '231', '564', '408', '588', '639', '298', '935', '700', '420', '920', '880', '575', '190', '683']
['111', '210', '425', '158', '900', '602', '170', '216', '930', '506', '154', '86', '767', '942', '998', '284', '471', '360', '317', '275', '185', '548', '163', '369', '744', '853', '161', '56', '550', '748', '169', '814']
['288', '570', '865', '266', '873', '415', '246', '291', '4', '490', '897', '434', '614', '773', '428', '650', '239', '866', '26', '817', '601', '476', '719', '213', '29', '8', '292', '688', '782', '73', '171', '450']
['731', '945', '988', '412', '908', '932', '112', '671', '114', '162', '27', '396', '18', '524', '783', '861', '68', '45', '368', '227', '482', '381', '516', '694', '883', '462', '968', '299', '695', '820', '652', '156']
['745', '345', '867', '560', '463', '819', '461', '775', '403', '296', '160', '326', '58', '393', '488', '325', '314', '591', '43', '287', '735', '447', '330', '914', '768', '600', '66', '661', '432', '911', '518', '77']
['455', '941', '526', '599', '976', '397', '146', '971', '55', '912', '54', '297', '737', '72', '17', '48', '202', '334', '525', '899', '99', '523', '108', '322', '137', '63', '440', '668', '472', '421', '173', '10']
['549', '791', '753', '933', '121', '6', '136', '829', '338', '909', '703', '678', '40', '52', '36', '803', '758', '39', '940', '839', '480', '23', '184', '578', '278', '311', '76', '222', '157', '20', '42', '956']
['813', '715', '127', '47', '383', '658', '790', '708', '289', '898', '555', '757', '459', '673', '794', '225', '978', '779', '551', '95', '888', '827', '966', '845', '972', '442', '166', '422', '925', '402', '537', '831']
['424', '431', '699', '793', '5', '949', '557', '188', '962', '159', '647', '437', '426', '78', '467', '808', '609', '859', '830', '543', '754', '359', '770', '632', '763', '358', '175', '438', '172', '116', '401', '367']
['991', '622', '617', '294', '950', '295', '569', '655', '71', '533', '729', '443', '675', '733', '654', '868', '323', '723', '277', '16', '199', '742', '454', '687', '418', '413', '21', '139', '229', '910', '44', '855']
['979', '233', '928', '780', '851', '823', '258', '519', '905', '984', '593', '385', '843', '37', '788', '877', '152', '9', '743', '662', '977', '310', '725', '196', '612', '751', '906', '205', '891', '969', '486', '117']
['805', '238', '993', '57', '665', '849', '981', '677', '354', '429', '226', '520', '305', '501', '919', '41', '251', '947', '492', '994', '122', '260', '850', '860', '191', '608', '821', '841', '464', '946', '623', '147']
['577', '2', '948', '890', '235', '618', '509', '148', '0', '448', '996', '923', '300', '62', '508', '237', '308', '321', '785', '638', '649', '667', '69', '351', '477', '427', '957', '400', '416', '832', '828', '372']
['64', '983', '629', '187', '696', '82', '407', '713', '283', '74', '657', '256', '13', '241', '592', '328', '626', '746', '373', '566', '460', '961', '186', '478', '371', '535', '141', '705', '98', '974', '651', '755']
['864', '324', '357', '653', '223', '740', '759', '634', '765', '80', '801', '690', '399', '727', '716', '38', '211', '281', '130', '34', '254', '955', '726', '474', '487', '660']
['417', '596', '3', '318', '772', '208', '804', '636', '913', '834', '752', '589', '489', '580', '931', '176', '809', '285', '149', '553']
['641', '816', '19', '469', '882', '621', '395', '135', '263', '747', '619', '869', '642', '844', '562', '133', '105', '88', '140', '959', '656', '954', '544', '722', '423', '49']
